Core-index	Vocab-KO-Index	Sent-KO-Index	New-Opt-Voc-Index	Opt-Voc-Index	Opt-Sen-Index	"jlpt "	Vocab-expression	Vocab-kana	Vocab-meaning	Vocab-pos	Sentence-expression	Sentence-kana	Sentence-meaning	Vocab-furigana	Sentence-furigana	Sentence-Cloze
1382	0	146	989	1058	528	JLPT4	ゼロ	ゼロ	zero	Noun	今日の交通事故は<b>ゼロ</b>です。	きょう の こうつう じこ は <b>ぜろ</b> です	Today there were zero traffic accidents.	ゼロ	今日[きょう]の 交通事故[こうつう じこ]は<b>ゼロ</b>です。	今日[きょう]の 交通事故[こうつう じこ]は<b>（　）</b>です。
1383	793	794	1546	1557	1420	JLPT0	朝刊	ちょうかん	morning edition	Noun	今日の<b>朝刊</b>に面白い記事があった。	きょう の <b>ちょうかん</b> に おもしろい きじ が あった	There was an amusing article in today's morning paper.	朝刊[ちょうかん]	今日[きょう]の<b> 朝刊[ちょうかん]</b>に 面白[おもしろ]い 記事[きじ]があった。	今日[きょう]の<b>（　）</b>に 面白[おもしろ]い 記事[きじ]があった。
1384	1481	1482	2097	1902	1851	JLPT3	丁寧	ていねい	polite, courteous, careful	Adjectival Noun	彼女はいつも<b>丁寧</b>に仕事をします。	かのじょ は いつも <b>ていねい</b> に しごと を します	She always works carefully.	丁寧[ていねい]	彼女[かのじょ]はいつも<b> 丁寧[ていねい]</b>に 仕事[しごと]をします。	彼女[かのじょ]はいつも<b>（　）</b>に 仕事[しごと]をします。
1385	836	837	1585	1597	1458	JLPT2	苦手	にがて	person that is hard to deal with, weak point	Adjectival Noun	私は料理が<b>苦手</b>です。	わたし は りょうり が <b>にがて</b> です	I'm not good at cooking.	苦手[にがて]	私[わたし]は 料理[りょうり]が<b> 苦手[にがて]</b>です。	私[わたし]は 料理[りょうり]が<b>（　）</b>です。
1386	19	203	342	406	593	JLPT3	日	ひ	sun, sunlight, day	Noun	夏は<b>日</b>が長い。	なつ は <b>ひ</b> が ながい	The days are long in summer.	日[ひ]	夏[なつ]は<b> 日[ひ]</b>が 長[なが]い。	夏[なつ]は<b>（　）</b>が 長[なが]い。
1387	862	863	1608	1620	1480	JLPT0	引っ越し	ひっこし	moving	Verbal Noun	去年、<b>引っ越し</b>しました。	きょねん <b>ひっこし</b> しました	I moved last year.	引[ひ]っ 越[こ]し	去年[きょねん]、<b> 引[ひ]っ 越[こ]し</b>しました。	去年[きょねん]、<b>（　）</b>しました。
1388	152	153	582	646	539	JLPT2	歩道	ほどう	sidewalk, footpath	Noun	<b>歩道</b>を歩きましょう。	<b>ほどう</b> を あるきましょう	Let's walk on the pavement.	歩道[ほどう]	<b> 歩道[ほどう]</b>を 歩[ある]きましょう。	<b>（　）</b>を 歩[ある]きましょう。
1389	989	1144	1719	1730	1727	JLPT3	折れる	おれる	snap, be folded, give in	Verb	強風で木の枝が<b>折れた</b>。	きょうふう で き の えだ が <b>おれた</b>	The tree branch broke in the strong wind.	折[お]れる	強風[きょうふう]で 木[き]の 枝[えだ]が<b> 折[お]れた</b>。	強風[きょうふう]で 木[き]の 枝[えだ]が<b>（　）</b>。
1390	257	258	755	819	646	JLPT2	見送り	みおくり	seeing someone off	Verbal Noun	駅に友人の<b>見送り</b>に行きました。	えき に ゆうじん の <b>みおくり</b> に いきました	I went to the station to see off a friend.	見送[みおく]り	駅[えき]に 友人[ゆうじん]の<b> 見送[みおく]り</b>に 行[い]きました。	駅[えき]に 友人[ゆうじん]の<b>（　）</b>に 行[い]きました。
1391	793	794	1547	1559	1421	JLPT2	夕刊	ゆうかん	evening edition	Noun	そのニュースは<b>夕刊</b>で見ました。	その にゅーす は <b>ゆうかん</b> で みました	I saw that news in the evening newspaper.	夕刊[ゆうかん]	そのニュースは<b> 夕刊[ゆうかん]</b>で 見[み]ました。	そのニュースは<b>（　）</b>で 見[み]ました。
1392	100	441	482	546	1003	JLPT0	この間	このあいだ	the other day, recently	Noun	<b>この間</b>彼女に会った。	<b>このあいだ</b> かのじょ に あった	I met her the other day.	この 間[あいだ]	<b>この 間[あいだ]</b> 彼女[かのじょ]に 会[あ]った。	<b>（　）</b> 彼女[かのじょ]に 会[あ]った。
1393	681	682	1433	1445	1287	JLPT3	冷える	ひえる	cool down, feel chilly	Verb	クーラーで体が<b>冷えた</b>。	くーらー で からだ が <b>ひえた</b>	The air conditioner's given me the chills.	冷[ひ]える	クーラーで 体[からだ]が<b> 冷[ひ]えた</b>。	クーラーで 体[からだ]が<b>（　）</b>。
1394	0	437	994	1063	932	JLPT2	ピンク	ピンク	pink	Noun	娘が<b>ピンク</b>のドレスを着ている。	むすめ が <b>ぴんく</b> の どれす を きて いる	My daughter's wearing a pink dress.	ピンク	娘[むすめ]が<b>ピンク</b>のドレスを 着[き]ている。	娘[むすめ]が<b>（　）</b>のドレスを 着[き]ている。
1395	0	0	998	1067	1387	JLPT2	グラス	グラス	glass	Noun	これはきれいな<b>グラス</b>ですね。	これ は きれい な <b>ぐらす</b> です ね	This is a beautiful glass.	グラス	これはきれいな<b>グラス</b>ですね。	これはきれいな<b>（　）</b>ですね。
1396	1265	1677	2044	1849	1904	JLPT2	毛	け	hair, wool	Noun	猫の<b>毛</b>がセーターに付いた。	ねこ の <b>け</b> が せーたー に ついた	I got cat hair on my sweater.	毛[け]	猫[ねこ]の<b> 毛[け]</b>がセーターに 付[つ]いた。	猫[ねこ]の<b>（　）</b>がセーターに 付[つ]いた。
1397	968	969	1699	1711	1587	JLPT2	黒板	こくばん	blackboard	Noun	答えを<b>黒板</b>に書いてください。	こたえ を <b>こくばん</b> に かいて ください	Please write the answer on the blackboard.	黒板[こくばん]	答[こた]えを<b> 黒板[こくばん]</b>に 書[か]いてください。	答[こた]えを<b>（　）</b>に 書[か]いてください。
1398	0	441	1055	1072	1004	JLPT2	ダンス	ダンス	dance, dancing	Verbal Noun	彼女は<b>ダンス</b>が大好きです。	かのじょ は <b>だんす</b> が だいすき です	She loves to dance.	ダンス	彼女[かのじょ]は<b>ダンス</b>が 大好[だいす]きです。	彼女[かのじょ]は<b>（　）</b>が 大好[だいす]きです。
1399	800	801	1552	1564	1427	JLPT2	積もる	つもる	accumulate, get accumulated	Verb	雪が<b>積もっています</b>。	ゆき が <b>つもって います</b>	The snow has settled.	積[つ]もる	雪[ゆき]が<b> 積[つ]もっています</b>。	雪[ゆき]が<b>（　）</b>。
1400	110	111	500	564	463	JLPT0	半年	はんとし	half a year	Noun	日本に来て<b>半年</b>になります。	にっぽん に きて <b>はんとし</b> に なります	It has been half a year since I came to Japan.	半年[はんとし]	日本[にっぽん]に 来[き]て<b> 半年[はんとし]</b>になります。	日本[にっぽん]に 来[き]て<b>（　）</b>になります。
1401	57	58	407	471	423	JLPT4	出口	でぐち	exit, exit ramp	Noun	<b>出口</b>はあそこです。	<b>でぐち</b> は あそこ です	The exit's over there.	出口[でぐち]	<b> 出口[でぐち]</b>はあそこです。	<b>（　）</b>はあそこです。
1402	549	919	1306	1318	1539	JLPT4	登る	のぼる	climb, mount, go up	Verb	私たちは昨年、富士山に<b>登りました</b>。	わたしたち は さくねん ふじさん に <b>のぼりました</b>	We climbed Mount Fuji last year.	登[のぼ]る	私[わたし]たちは 昨年[さくねん]、 富士山[ふじさん]に<b> 登[のぼ]りました</b>。	私[わたし]たちは 昨年[さくねん]、 富士山[ふじさん]に<b>（　）</b>。
1403	400	401	1085	1097	839	JLPT2	真っ白	まっしろ	pure-white	Adjectival Noun	外は雪で<b>真っ白</b>だった。	そと は ゆき で <b>まっしろ</b> だった	Everything outside was white with snow.	真[ま]っ 白[しろ]	外[そと]は 雪[ゆき]で<b> 真[ま]っ 白[しろ]</b>だった。	外[そと]は 雪[ゆき]で<b>（　）</b>だった。
1404	0	587	1059	1076	1215	JLPT0	おじ	おじ	uncle	Noun	<b>おじ</b>は銀行に勤めています。	<b>おじ</b> は ぎんこう に つとめて います	My uncle works for a bank.	おじ	<b>おじ</b>は 銀行[ぎんこう]に 勤[つと]めています。	<b>（　）</b>は 銀行[ぎんこう]に 勤[つと]めています。
1405	42	1360	386	450	1798	JLPT0	下ろす	おろす	bring down, take down, pull down	Verb	棚からその箱を<b>下ろして</b>ください。	たな から その はこ を <b>おろして</b> ください	Please take the box down from the shelf.	下[お]ろす	棚[たな]からその 箱[はこ]を<b> 下[お]ろして</b>ください。	棚[たな]からその 箱[はこ]を<b>（　）</b>ください。
1406	340	341	882	946	721	JLPT0	貸し出す	かしだす	lend, lend out	Verb	その本は<b>貸し出し</b>中です。	その ほん は <b>かしだし</b>ちゅう です	That book is currently on loan.	貸[か]し 出[だ]す	その 本[ほん]は<b> 貸[か]し 出[だ]し</b> 中[ちゅう]です。	その 本[ほん]は<b>（　）</b> 中[ちゅう]です。
1407	0	562	1064	1081	1186	JLPT0	サッカー	サッカー	soccer, football	Noun	彼は<b>サッカー</b>の選手です。	かれ は <b>さっかー</b> の せんしゅ です	He's a soccer player.	サッカー	彼[かれ]は<b>サッカー</b>の 選手[せんしゅ]です。	彼[かれ]は<b>（　）</b>の 選手[せんしゅ]です。
1408	757	758	1499	1511	1365	JLPT3	暖房	だんぼう	heating	Verbal Noun	冬は<b>暖房</b>が必要です。	ふゆ は <b>だんぼう</b> が ひつよう です	Heating is necessary in winter.	暖房[だんぼう]	冬[ふゆ]は<b> 暖房[だんぼう]</b>が 必要[ひつよう]です。	冬[ふゆ]は<b>（　）</b>が 必要[ひつよう]です。
1409	1360	1361	2065	1870	1801	JLPT3	手袋	てぶくろ	gloves	Noun	寒いので<b>手袋</b>をしました。	さむい の で <b>てぶくろ</b> を しました	I wore gloves because it was cold.	手袋[てぶくろ]	寒[さむ]いので<b> 手袋[てぶくろ]</b>をしました。	寒[さむ]いので<b>（　）</b>をしました。
1410	777	778	1519	1530	1395	JLPT3	留守	るす	not at home	Noun	父は今、<b>留守</b>です。	ちち は いま <b>るす</b> です	My father isn't at home now.	留守[るす]	父[ちち]は 今[いま]、<b> 留守[るす]</b>です。	父[ちち]は 今[いま]、<b>（　）</b>です。
1411	1771	1772	3059	1957	1936	JLPT2	嘘	うそ	lie	Noun	<b>嘘</b>をついてはいけません。	<b>うそ</b> を ついて は いけません	You mustn't lie.	嘘[うそ]	<b> 嘘[うそ]</b>をついてはいけません。	<b>（　）</b>をついてはいけません。
1412	1775	1776	3060	1958	1938	JLPT3	遠慮	えんりょ	reserve, hesitation, forethought	Verbal Noun	私は<b>遠慮</b>します。	わたし は <b>えんりょ</b> します	No thanks, I'll pass (on that).	遠慮[えんりょ]	私[わたし]は<b> 遠慮[えんりょ]</b>します。	私[わたし]は<b>（　）</b>します。
1413	989	1703	1720	1732	1911	JLPT2	折る	おる	break off, fold, bend	Verb	祖父は足の骨を<b>折りました</b>。	そふ は あし の ほね を <b>おりました</b>	My grandfather broke a bone in his foot.	折[お]る	祖父[そふ]は 足[あし]の 骨[ほね]を<b> 折[お]りました</b>。	祖父[そふ]は 足[あし]の 骨[ほね]を<b>（　）</b>。
1414	114	115	511	575	468	JLPT3	今夜	こんや	tonight, this evening	Noun	<b>今夜</b>は月がとてもきれいです。	<b>こんや</b> は つき が とても きれい です	The moon is very beautiful tonight.	今夜[こんや]	<b> 今夜[こんや]</b>は 月[つき]がとてもきれいです。	<b>（　）</b>は 月[つき]がとてもきれいです。
1415	0	428	1068	1086	902	JLPT2	スープ	スープ	soup, broth	Noun	母がコーン<b>スープ</b>を作っている。	はは が こーん<b>すーぷ</b> を つくって いる	My mother made some corn chowder.	スープ	母[はは]がコーン<b>スープ</b>を 作[つく]っている。	母[はは]がコーン<b>（　）</b>を 作[つく]っている。
1416	0	117	1073	1090	471	JLPT0	バナナ	バナナ	banana	Noun	私は毎朝<b>バナナ</b>を食べます。	わたし は まいあさ <b>ばなな</b> を たべます	I eat a banana every morning.	バナナ	私[わたし]は 毎朝[まいあさ]<b>バナナ</b>を 食[た]べます。	私[わたし]は 毎朝[まいあさ]<b>（　）</b>を 食[た]べます。
1417	0	392	1078	1095	818	JLPT3	うるさい	うるさい	noisy, annoying, pesky	Adjective	この通りは車の音が<b>うるさい</b>。	この とおり は くるま の おと が <b>うるさい</b>	Traffic is noisy on this street.	うるさい	この 通[とお]りは 車[くるま]の 音[おと]が<b>うるさい</b>。	この 通[とお]りは 車[くるま]の 音[おと]が<b>（　）</b>。
1418	1492	1493	2098	1903	1853	JLPT0	可哀相	かわいそう	poor, pitiable	Adjectival Noun	その<b>可哀相</b>な子供たちは食べるものがない。	その <b>かわいそう</b> な こどもたち は たべる もの が ない	Those poor children have nothing to eat.	可哀相[かわいそう]	その<b> 可哀相[かわいそう]</b>な 子供[こども]たちは 食[た]べるものがない。	その<b>（　）</b>な 子供[こども]たちは 食[た]べるものがない。
1419	0	0	1082	1099	1412	JLPT1	パトカー	パトカー	police car, patrol car	Noun	あそこに<b>パトカー</b>がいる。	あそこ に <b>ぱとかー</b> が いる	There's a police car over there.	パトカー	あそこに<b>パトカー</b>がいる。	あそこに<b>（　）</b>がいる。
1420	0	119	1087	1104	483	JLPT0	ハンバーガー	ハンバーガー	hamburger	Noun	今日の昼ご飯は<b>ハンバーガー</b>でした。	きょう の ひるごはん は <b>はんばーがー</b> でした	I had a hamburger for lunch today.	ハンバーガー	今日[きょう]の 昼[ひる]ご 飯[はん]は<b>ハンバーガー</b>でした。	今日[きょう]の 昼[ひる]ご 飯[はん]は<b>（　）</b>でした。
1421	1362	1363	2068	1873	1808	JLPT2	毛布	もうふ	blanket	Noun	この<b>毛布</b>は暖かい。	この <b>もうふ</b> は あたたかい	This blanket is warm.	毛布[もうふ]	この<b> 毛布[もうふ]</b>は 暖[あたた]かい。	この<b>（　）</b>は 暖[あたた]かい。
1422	0	197	1091	1108	583	JLPT3	エスカレーター	エスカレーター	escalator	Noun	3階まで<b>エスカレーター</b>で行きましょう。	さんかい まで <b>えすかれーたー</b> で いきましょう	Let's take the escalator up to the third floor.	エスカレーター	3階[さんかい]まで<b>エスカレーター</b>で 行[い]きましょう。	3階[さんかい]まで<b>（　）</b>で 行[い]きましょう。
1423	1808	1809	3063	1961	1941	JLPT3	お嬢さん	おじょうさん	young lady, your daughter	Noun	<b>お嬢さん</b>はおいくつですか。	<b>おじょうさん</b> は おいくつ です か	How old is your daughter?	お 嬢[じょう]さん	<b>お 嬢[じょう]さん</b>はおいくつですか。	<b>（　）</b>はおいくつですか。
1424	0	571	1096	1113	1196	JLPT2	タオル	タオル	towel	Noun	私は<b>タオル</b>で顔をふいた。	わたし は <b>たおる</b> で かお を ふいた	I wiped my face with a towel.	タオル	私[わたし]は<b>タオル</b>で 顔[かお]をふいた。	私[わたし]は<b>（　）</b>で 顔[かお]をふいた。
1425	1379	1380	2073	1878	1817	JLPT2	手帳	てちょう	pocketbook, memo	Noun	新しい<b>手帳</b>を買いました。	あたらしい <b>てちょう</b> を かいました	I bought a new notebook.	手帳[てちょう]	新[あたら]しい<b> 手帳[てちょう]</b>を 買[か]いました。	新[あたら]しい<b>（　）</b>を 買[か]いました。
1426	624	625	1381	1393	1250	JLPT3	乗り換える	のりかえる	change, transfer	Verb	次の駅で地下鉄に<b>乗り換えます</b>。	つぎ の えき で ちかてつ に <b>のりかえます</b>	I'm transfering to the subway at the next station.	乗[の]り 換[か]える	次[つぎ]の 駅[えき]で 地下鉄[ちかてつ]に<b> 乗[の]り 換[か]えます</b>。	次[つぎ]の 駅[えき]で 地下鉄[ちかてつ]に<b>（　）</b>。
1427	192	391	664	728	813	JLPT2	売店	ばいてん	booth, store	Noun	駅の<b>売店</b>で雑誌を買った。	えき の <b>ばいてん</b> で ざっし を かった	I bought a magazine at a shop in the station.	売店[ばいてん]	駅[えき]の<b> 売店[ばいてん]</b>で 雑誌[ざっし]を 買[か]った。	駅[えき]の<b>（　）</b>で 雑誌[ざっし]を 買[か]った。
1428	0	441	1100	1117	1005	JLPT1	パチンコ	パチンコ	pachinko (vertical pinball)	Noun	彼は毎日<b>パチンコ</b>をしています。	かれ は まいにち <b>ぱちんこ</b> を して います	He plays pachinko every day.	パチンコ	彼[かれ]は 毎日[まいにち]<b>パチンコ</b>をしています。	彼[かれ]は 毎日[まいにち]<b>（　）</b>をしています。
1429	1021	1022	1741	1752	1637	JLPT2	美人	びじん	beautiful woman	Noun	彼のお母さんは<b>美人</b>です。	かれ の おかあさん は <b>びじん</b> です	His mother's a beautiful woman.	美人[びじん]	彼[かれ]のお 母[かあ]さんは<b> 美人[びじん]</b>です。	彼[かれ]のお 母[かあ]さんは<b>（　）</b>です。
1430	175	176	634	698	558	JLPT0	本屋	ほんや	bookstore, bookseller	Noun	駅前に<b>本屋</b>があります。	えきまえ に <b>ほんや</b> が あります	There's a bookstore in front of the station.	本屋[ほんや]	駅前[えきまえ]に<b> 本屋[ほんや]</b>があります。	駅前[えきまえ]に<b>（　）</b>があります。
1431	0	0	1105	1122	1425	JLPT0	みかん	みかん	tangerine, mandarin orange	Noun	<b>みかん</b>を1つください。	<b>みかん</b> を ひとつ ください	Please give me a tangerine.	みかん	<b>みかん</b>を 1[ひと]つください。	<b>（　）</b>を 1[ひと]つください。
1432	868	869	1616	1628	1488	JLPT3	謝る	あやまる	apologize	Verb	彼は直ぐに<b>謝りました</b>。	かれ は すぐ に <b>あやまりました</b>	He apologized at once.	謝[あやま]る	彼[かれ]は 直[す]ぐに<b> 謝[あやま]りました</b>。	彼[かれ]は 直[す]ぐに<b>（　）</b>。
1433	0	904	1109	1126	1528	JLPT2	ケーキ	ケーキ	cake	Noun	誕生日に<b>ケーキ</b>を食べました。	たんじょうび に <b>けーき</b> を たべました	We ate cake on his birthday.	ケーキ	誕生日[たんじょうび]に<b>ケーキ</b>を 食[た]べました。	誕生日[たんじょうび]に<b>（　）</b>を 食[た]べました。
1434	0	486	1114	1131	1094	JLPT4	コップ	コップ	cup, glass	Noun	私は毎朝<b>コップ</b>一杯の水を飲む。	わたし は まいあさ <b>こっぷ</b> いっぱい の みず を のむ	I drink a glass of water every morning.	コップ	私[わたし]は 毎朝[まいあさ]<b>コップ</b> 一杯[いっぱい]の 水[みず]を 飲[の]む。	私[わたし]は 毎朝[まいあさ]<b>（　）</b> 一杯[いっぱい]の 水[みず]を 飲[の]む。
1435	205	206	680	744	595	JLPT2	四季	しき	the four seasons	Noun	日本には<b>四季</b>がある。	にほん に は <b>しき</b> が ある	We have four seasons in Japan.	四季[しき]	日本[にほん]には<b> 四季[しき]</b>がある。	日本[にほん]には<b>（　）</b>がある。
1436	67	743	433	497	1350	JLPT0	田んぼ	たんぼ	rice field	Noun	この辺は<b>田んぼ</b>がたくさんあります。	このへん は <b>たんぼ</b> が たくさん あります	There are a lot of rice fields around here.	田[た]んぼ	この 辺[へん]は<b> 田[た]んぼ</b>がたくさんあります。	この 辺[へん]は<b>（　）</b>がたくさんあります。
1437	353	354	915	979	744	JLPT3	天気予報	てんきよほう	weather forecast	Noun	明日の<b>天気予報</b>は雨です。	あした の <b>てんきよほう</b> は あめ です	Rain is forecast for tomorrow.	天気予報[てんきよほう]	明日[あした]の<b> 天気予報[てんきよほう]</b>は 雨[あめ]です。	明日[あした]の<b>（　）</b>は 雨[あめ]です。
1438	0	0	1118	1136	1433	JLPT2	ナイロン	ナイロン	nylon	Noun	このジャケットは<b>ナイロン</b>でできています。	この じゃけっと は <b>ないろん</b> で できて います	This jacket is made of nylon.	ナイロン	このジャケットは<b>ナイロン</b>でできています。	このジャケットは<b>（　）</b>でできています。
1439	356	392	923	987	819	JLPT3	変	へん	strange, weird, funny	Adjectival Noun	<b>変</b>な音が聞こえます。	<b>へん</b> な おと が きこえます	I hear a strange sound.	変[へん]	<b> 変[へん]</b>な 音[おと]が 聞[き]こえます。	<b>（　）</b>な 音[おと]が 聞[き]こえます。
1440	33	544	361	425	1166	JLPT4	来週	らいしゅう	next week	Noun	続きは<b>来週</b>やりましょう。	つづき は <b>らいしゅう</b> やりましょう	Let's continue next week.	来週[らいしゅう]	続[つづ]きは<b> 来週[らいしゅう]</b>やりましょう。	続[つづ]きは<b>（　）</b>やりましょう。
1441	1235	1236	2032	1837	1753	JLPT3	一生懸命	いっしょうけんめい	for life, with all one's might	Adverb	彼は毎日<b>一生懸命</b>働いている。	かれ は まいにち <b>いっしょうけんめい</b> はたらいて いる	He works hard every day.	一生懸命[いっしょうけんめい]	彼[かれ]は 毎日[まいにち]<b> 一生懸命[いっしょうけんめい]</b> 働[はたら]いている。	彼[かれ]は 毎日[まいにち]<b>（　）</b> 働[はたら]いている。
1442	954	1215	1682	1693	1747	JLPT3	乾く	かわく	dry, run dry	Verb	夏は洗濯物がすぐ<b>乾く</b>。	なつ は せんたくもの が すぐ <b>かわく</b>	Laundry dries quickly in summer.	乾[かわ]く	夏[なつ]は 洗濯物[せんたくもの]がすぐ<b> 乾[かわ]く</b>。	夏[なつ]は 洗濯物[せんたくもの]がすぐ<b>（　）</b>。
1443	981	982	1711	1723	1609	JLPT2	皿	さら	plate, counter for plates or helpings	Noun	<b>皿</b>にケーキを載せました。	<b>さら</b> に けーき を のせました。	I put the cake on the plate.	皿[さら]	<b> 皿[さら]</b>にケーキを 載[の]せました。	<b>（　）</b>にケーキを 載[の]せました。
1444	413	414	1115	1127	867	JLPT0	間違う	まちがう	be mistaken, be incorrect	Verb	あなたは<b>間違っている</b>。	あなた は <b>まちがって いる</b>	You're mistaken.	間違[まちが]う	あなたは<b> 間違[まちが]っている</b>。	あなたは<b>（　）</b>。
1445	587	588	1351	1362	1218	JLPT0	事務室	じむしつ	office	Noun	<b>事務室</b>でコピーを取って来ます。	<b>じむしつ</b> で こぴー を とって きます	I'm going to make copies in the office.	事務室[じむしつ]	<b> 事務室[じむしつ]</b>でコピーを 取[と]って 来[き]ます。	<b>（　）</b>でコピーを 取[と]って 来[き]ます。
1446	1093	1094	1791	1802	1703	JLPT0	消防車	しょうぼうしゃ	fire engine	Noun	<b>消防車</b>が4台も来た。	<b>しょうぼうしゃ</b> が よんだい も きた	Four fire engines came.	消防車[しょうぼうしゃ]	<b> 消防車[しょうぼうしゃ]</b>が 4台[よんだい]も 来[き]た。	<b>（　）</b>が 4台[よんだい]も 来[き]た。
1447	0	102	1123	1140	460	JLPT2	スーツ	スーツ	suit	Noun	あの<b>スーツ</b>はそんなに高くない。	あの <b>すーつ</b> は そんなに たかく ない	That suit is reasonably priced.	スーツ	あの<b>スーツ</b>はそんなに 高[たか]くない。	あの<b>（　）</b>はそんなに 高[たか]くない。
1448	0	508	1128	1145	1117	JLPT0	チケット	チケット	ticket	Noun	この遊園地の<b>チケット</b>は3000円です。	この ゆうえんち の <b>ちけっと</b> は さんぜんえん です	The tickets for this amusement park are 3000 yen.	チケット	この 遊園地[ゆうえんち]の<b>チケット</b>は 3000円[さんぜんえん]です。	この 遊園地[ゆうえんち]の<b>（　）</b>は 3000円[さんぜんえん]です。
1449	0	433	1132	1149	919	JLPT0	チョコレート	チョコレート	chocolate	Noun	妹は<b>チョコレート</b>が大好きです。	いもうと は <b>ちょこれーと</b> が だいすき です	My little sister loves chocolate.	チョコレート	妹[いもうと]は<b>チョコレート</b>が 大好[だいす]きです。	妹[いもうと]は<b>（　）</b>が 大好[だいす]きです。
1450	1208	1209	2023	1828	1744	JLPT3	泥棒	どろぼう	thief, crook	Verbal Noun	近所に<b>泥棒</b>が入った。	きんじょ に <b>どろぼう</b> が はいった	There was a burglary in the neighborhood.	泥棒[どろぼう]	近所[きんじょ]に<b> 泥棒[どろぼう]</b>が 入[はい]った。	近所[きんじょ]に<b>（　）</b>が 入[はい]った。
1451	364	1923	945	1009	1960	JLPT4	脱ぐ	ぬぐ	remove clothes, take off	Verb	靴を<b>脱いで</b>ください。	くつ を <b>ぬいで</b> ください	Please take off your shoes.	脱[ぬ]ぐ	靴[くつ]を<b> 脱[ぬ]いで</b>ください。	靴[くつ]を<b>（　）</b>ください。
1452	1836	1837	3064	1962	1942	JLPT0	年賀状	ねんがじょう	New Year's card	Noun	昨日、<b>年賀状</b>を出しました。	きのう <b>ねんがじょう</b> を だしました	I sent my New Year cards yesterday.	年賀状[ねんがじょう]	昨日[きのう]、<b> 年賀状[ねんがじょう]</b>を 出[だ]しました。	昨日[きのう]、<b>（　）</b>を 出[だ]しました。
1453	361	447	933	997	1041	JLPT3	乗り物	のりもの	vehicle, conveyance	Noun	自転車は便利な<b>乗り物</b>です。	じてんしゃ は べんり な <b>のりもの</b> です	Bicycles are a convenient form of transport.	乗[の]り 物[もの]	自転車[じてんしゃ]は 便利[べんり]な<b> 乗[の]り 物[もの]</b>です。	自転車[じてんしゃ]は 便利[べんり]な<b>（　）</b>です。
1454	1362	1614	2069	1874	1884	JLPT3	布団	ふとん	futon, bedquilt	Noun	母が<b>布団</b>を干している。	はは が <b>ふとん</b> を ほして いる	My mother is airing the futons.	布団[ふとん]	母[はは]が<b> 布団[ふとん]</b>を 干[ほ]している。	母[はは]が<b>（　）</b>を 干[ほ]している。
1455	366	367	950	1014	771	JLPT3	役に立つ	やくにたつ	be useful, be helpful	Verb	私は人々の<b>役に立ちたい</b>と思っています。	わたし は ひとびと の <b>やくにたちたい</b> と おもって います	I want to be of service to others.	役[やく]に 立[た]つ	私[わたし]は 人々[ひとびと]の<b> 役[やく]に 立[た]ちたい</b>と 思[おも]っています。	私[わたし]は 人々[ひとびと]の<b>（　）</b>と 思[おも]っています。
1456	629	630	1389	1401	1257	JLPT2	破れる	やぶれる	tear, rip open	Verb	シャツが<b>破れている</b>。	しゃつ が <b>やぶれて いる</b>	My shirt got torn.	破[やぶ]れる	シャツが<b> 破[やぶ]れている</b>。	シャツが<b>（　）</b>。
1457	188	1406	655	719	1832	JLPT3	用事	ようじ	things to do, errand, business	Noun	父は<b>用事</b>で出掛けています。	ちち は <b>ようじ</b> で でかけて います	My father is out running errands.	用事[ようじ]	父[ちち]は<b> 用事[ようじ]</b>で 出掛[でか]けています。	父[ちち]は<b>（　）</b>で 出掛[でか]けています。
1458	399	461	1079	1091	1066	JLPT3	写す	うつす	copy, photograph	Verb	彼は友達の答えを<b>写した</b>。	かれ は ともだち の こたえ を <b>うつした</b>	He copied down his friend's answers.	写[うつ]す	彼[かれ]は 友達[ともだち]の 答[こた]えを<b> 写[うつ]した</b>。	彼[かれ]は 友達[ともだち]の 答[こた]えを<b>（　）</b>。
1459	1319	1320	2056	1861	1786	JLPT0	腕時計	うでどけい	wrist watch	Noun	私の<b>腕時計</b>は遅れている。	わたし の <b>うでどけい</b> は おくれて いる	My watch is slow.	腕時計[うでどけい]	私[わたし]の<b> 腕時計[うでどけい]</b>は 遅[おく]れている。	私[わたし]の<b>（　）</b>は 遅[おく]れている。
1460	936	937	1669	1680	1552	JLPT3	贈り物	おくりもの	present, gift	Noun	すてきな<b>贈り物</b>をどうもありがとう。	すてき な <b>おくりもの</b> を どうも ありがとう	Thank you for the wonderful present.	贈[おく]り 物[もの]	すてきな<b> 贈[おく]り 物[もの]</b>をどうもありがとう。	すてきな<b>（　）</b>をどうもありがとう。
1461	0	357	1137	1154	749	JLPT1	チャンネル	チャンネル	channel	Noun	テレビの<b>チャンネル</b>を変えてください。	てれび の <b>ちゃんねる</b> を かえて ください	Please change the TV channel.	チャンネル	テレビの<b>チャンネル</b>を 変[か]えてください。	テレビの<b>（　）</b>を 変[か]えてください。
1462	0	441	1141	1158	1006	JLPT4	つまらない	つまらない	boring, dull	Adjective	彼の話は<b>つまらない</b>ですね。	かれ の はなし は <b>つまらない</b> です ね	What he's talking about is boring.	つまらない	彼[かれ]の 話[はなし]は<b>つまらない</b>ですね。	彼[かれ]の 話[はなし]は<b>（　）</b>ですね。
